id;category_code;category;title;date;author_1;author_2;author_3;author_4;author_5;summary;link
arXiv:cs/9510103;[cs.AI];Computer Science > Artificial Intelligence;Learning Membership Functions in a Function-Based Object Recognition System;[Submitted on 1 Oct 1995];K. Woods;D. Cook;L. Hall;K. Bowyer;L. Stark;Functionality-based recognition systems recognize objects at the categorylevel by reasoning about how well the objects support the expected function.Such systems naturally associate a ``measure of goodness'' or ``membershipvalue'' with a recognized object. This measure of goodness is the result ofcombining individual measures, or membership values, from potentially manyprimitive evaluations of different properties of the object's shape. Amembership function is used to compute the membership value when evaluating aprimitive of a particular physical property of an object. In previous versionsof a recognition system known as Gruff, the membership function for each of theprimitive evaluations was hand-crafted by the system designer. In this paper,we provide a learning component for the Gruff system, called Omlet, thatautomatically learns membership functions given a set of example objectslabeled with their desired category measure. The learning algorithm isgenerally applicable to any problem in which low-level membership values arecombined through an and-or tree structure to give a final overall membershipvalue.;https://arxiv.org/abs/cs/9510103
arXiv:cs/9511101;[cs.AI];Computer Science > Artificial Intelligence;Flexibly Instructable Agents;[Submitted on 1 Nov 1995];S. B. Huffman;J. E. Laird;;;;"This paper presents an approach to learning from situated, interactivetutorial instruction within an ongoing agent. Tutorial instruction is aflexible (and thus powerful) paradigm for teaching tasks because it allows aninstructor to communicate whatever types of knowledge an agent might need inwhatever situations might arise. To support this flexibility, however, theagent must be able to learn multiple kinds of knowledge from a broad range ofinstructional interactions. Our approach, called situated explanation, achievessuch learning through a combination of analytic and inductive techniques. Itcombines a form of explanation-based learning that is situated for eachinstruction with a full suite of contextually guided responses to incompleteexplanations. The approach is implemented in an agent called Instructo-Soarthat learns hierarchies of new tasks and other domain knowledge frominteractive natural language instructions. Instructo-Soar meets three keyrequirements of flexible instructability that distinguish it from previoussystems: (1) it can take known or unknown commands at any instruction point;(2) it can handle instructions that apply to either its current situation or toa hypothetical situation specified in language (as in, for instance,conditional instructions); and (3) it can learn, from instructions, each classof knowledge it uses to perform tasks.";https://arxiv.org/abs/cs/9511101
arXiv:cs/9512107;[cs.AI];Computer Science > Artificial Intelligence;Rule-based Machine Learning Methods for Functional Prediction;[Submitted on 1 Dec 1995];S. M. Weiss;N. Indurkhya;;;;We describe a machine learning method for predicting the value of areal-valued function, given the values of multiple input variables. The methodinduces solutions from samples in the form of ordered disjunctive normal form(DNF) decision rules. A central objective of the method and representation isthe induction of compact, easily interpretable solutions. This rule-baseddecision model can be extended to search efficiently for similar cases prior toapproximating function values. Experimental results on real-world datademonstrate that the new techniques are competitive with existing machinelearning and statistical methods and can sometimes yield superior regressionperformance.;https://arxiv.org/abs/cs/9512107
arXiv:cs/9512104;[cs.AI];Computer Science > Artificial Intelligence;Decision-Theoretic Foundations for Causal Reasoning;[Submitted on 1 Dec 1995];D. Heckerman;R. Shachter;;;;We present a definition of cause and effect in terms of decision-theoreticprimitives and thereby provide a principled foundation for causal reasoning.Our definition departs from the traditional view of causation in that causalassertions may vary with the set of decisions available. We argue that thisapproach provides added clarity to the notion of cause. Also in this paper, weexamine the encoding of causal relationships in directed acyclic graphs. Wedescribe a special class of influence diagrams, those in canonical form, andshow its relationship to Pearl's representation of cause and effect. Finally,we show how canonical form facilitates counterfactual reasoning.;https://arxiv.org/abs/cs/9512104
arXiv:cs/9512105;[cs.AI];Computer Science > Artificial Intelligence;Translating between Horn Representations and their Characteristic Models;[Submitted on 1 Dec 1995];R. Khardon;;;;;Characteristic models are an alternative, model based, representation forHorn expressions. It has been shown that these two representations areincomparable and each has its advantages over the other. It is thereforenatural to ask what is the cost of translating, back and forth, between theserepresentations. Interestingly, the same translation questions arise indatabase theory, where it has applications to the design of relationaldatabases. This paper studies the computational complexity of these problems.Our main result is that the two translation problems are equivalent underpolynomial reductions, and that they are equivalent to the correspondingdecision problem. Namely, translating is equivalent to deciding whether a givenset of models is the set of characteristic models for a given Horn expression.We also relate these problems to the hypergraph transversal problem, a wellknown problem which is related to other applications in AI and for which nopolynomial time algorithm is known. It is shown that in general our translationproblems are at least as hard as the hypergraph transversal problem, and in aspecial case they are equivalent to it.;https://arxiv.org/abs/cs/9512105
arXiv:cs/9512106;[cs.AI];Computer Science > Artificial Intelligence;Statistical Feature Combination for the Evaluation of Game Positions;[Submitted on 1 Dec 1995];M. Buro;;;;;This article describes an application of three well-known statistical methodsin the field of game-tree search: using a large number of classified Othellopositions, feature weights for evaluation functions with agame-phase-independent meaning are estimated by means of logistic regression,Fisher's linear discriminant, and the quadratic discriminant function fornormally distributed features. Thereafter, the playing strengths are comparedby means of tournaments between the resulting versions of a world-class Othelloprogram. In this application, logistic regression - which is used here for thefirst time in the context of game playing - leads to better results than theother approaches.;https://arxiv.org/abs/cs/9512106
arXiv:cs/9604103;[cs.AI];Computer Science > Artificial Intelligence;Iterative Optimization and Simplification of Hierarchical Clusterings;[Submitted on 1 Apr 1996];D. Fisher;;;;;Clustering is often used for discovering structure in data. Clusteringsystems differ in the objective function used to evaluate clustering qualityand the control strategy used to search the space of clusterings. Ideally, thesearch strategy should consistently construct clusterings of high quality, butbe computationally inexpensive as well. In general, we cannot have it bothways, but we can partition the search so that a system inexpensively constructsa `tentative' clustering for initial examination, followed by iterativeoptimization, which continues to search in background for improved clusterings.Given this motivation, we evaluate an inexpensive strategy for creating initialclusterings, coupled with several control strategies for iterativeoptimization, each of which repeatedly modifies an initial clustering in searchof a better one. One of these methods appears novel as an iterativeoptimization strategy in clustering contexts. Once a clustering has beenconstructed it is judged by analysts -- often according to task-specificcriteria. Several authors have abstracted these criteria and posited a genericperformance task akin to pattern completion, where the error rate overcompleted patterns is used to `externally' judge clustering utility. Given thisperformance task, we adapt resampling-based pruning strategies used bysupervised learning systems to the task of simplifying hierarchicalclusterings, thus promising to ease post-clustering analysis. Finally, wepropose a number of objective functions, based on attribute-selection measuresfor decision-tree induction, that might perform well on the error rate andsimplicity dimensions.;https://arxiv.org/abs/cs/9604103
arXiv:cs/9604102;[cs.AI];Computer Science > Artificial Intelligence;Practical Methods for Proving Termination of General Logic Programs;[Submitted on 1 Apr 1996];E. Marchiori;;;;;Termination of logic programs with negated body atoms (here called generallogic programs) is an important topic. One reason is that many computationalmechanisms used to process negated atoms, like Clark's negation as failure andChan's constructive negation, are based on termination conditions. This paperintroduces a methodology for proving termination of general logic programsw.r.t. the Prolog selection rule. The idea is to distinguish parts of theprogram depending on whether or not their termination depends on the selectionrule. To this end, the notions of low-, weakly up-, and up-acceptable programare introduced. We use these notions to develop a methodology for provingtermination of general logic programs, and show how interesting problems innon-monotonic reasoning can be formalized and implemented by means ofterminating general logic programs.;https://arxiv.org/abs/cs/9604102
arXiv:cs/9606102;[cs.AI];Computer Science > Artificial Intelligence;On Partially Controlled Multi-Agent Systems;[Submitted on 1 Jun 1996];R. I. Brafman;M. Tennenholtz;;;;Motivated by the control theoretic distinction between controllable anduncontrollable events, we distinguish between two types of agents within amulti-agent system: controllable agents, which are directly controlled by thesystem's designer, and uncontrollable agents, which are not under thedesigner's direct control. We refer to such systems as partially controlledmulti-agent systems, and we investigate how one might influence the behavior ofthe uncontrolled agents through appropriate design of the controlled agents. Inparticular, we wish to understand which problems are naturally described inthese terms, what methods can be applied to influence the uncontrollableagents, the effectiveness of such methods, and whether similar methods workacross different domains. Using a game-theoretic framework, this paper studiesthe design of partially controlled multi-agent systems in two contexts: in onecontext, the uncontrollable agents are expected utility maximizers, while inthe other they are reinforcement learners. We suggest different techniques forcontrolling agents' behavior in each domain, assess their success, and examinetheir relationship.;https://arxiv.org/abs/cs/9606102
arXiv:cs/9606101;[cs.AI];Computer Science > Artificial Intelligence;A Principled Approach Towards Symbolic Geometric Constraint Satisfaction;[Submitted on 1 Jun 1996];S. Bhansali;G. A. Kramer;T. J. Hoar;;;An important problem in geometric reasoning is to find the configuration of acollection of geometric bodies so as to satisfy a set of given constraints.Recently, it has been suggested that this problem can be solved efficiently bysymbolically reasoning about geometry. This approach, called degrees of freedomanalysis, employs a set of specialized routines called plan fragments thatspecify how to change the configuration of a set of bodies to satisfy a newconstraint while preserving existing constraints. A potential drawback, whichlimits the scalability of this approach, is concerned with the difficulty ofwriting plan fragments. In this paper we address this limitation by showing howthese plan fragments can be automatically synthesized using first principlesabout geometric bodies, actions, and topology.;https://arxiv.org/abs/cs/9606101
arXiv:cs/9609102;[cs.AI];Computer Science > Artificial Intelligence;Cue Phrase Classification Using Machine Learning;[Submitted on 1 Sep 1996];D. J. Litman;;;;;Cue phrases may be used in a discourse sense to explicitly signal discoursestructure, but also in a sentential sense to convey semantic rather thanstructural information. Correctly classifying cue phrases as discourse orsentential is critical in natural language processing systems that exploitdiscourse structure, e.g., for performing tasks such as anaphora resolution andplan recognition. This paper explores the use of machine learning forclassifying cue phrases as discourse or sentential. Two machine learningprograms (Cgrendel and C4.5) are used to induce classification models from setsof pre-classified cue phrases and their features in text and speech. Machinelearning is shown to be an effective technique for not only automating thegeneration of classification models, but also for improving upon previousresults. When compared to manually derived classification models already in theliterature, the learned models often perform with higher accuracy and containnew linguistic insights into the data. In addition, the ability toautomatically construct classification models makes it easier to comparativelyanalyze the utility of alternative feature representations of the data.Finally, the ease of retraining makes the learning approach more scalable andflexible than manual methods.;https://arxiv.org/abs/cs/9609102
arXiv:cs/9609101;[cs.AI];Computer Science > Artificial Intelligence;Accelerating Partial-Order Planners: Some Techniques for Effective Search Control and Pruning;[Submitted on 1 Sep 1996];A. Gerevini;L. Schubert;;;;We propose some domain-independent techniques for bringing well-foundedpartial-order planners closer to practicality. The first two techniques areaimed at improving search control while keeping overhead costs low. One isbased on a simple adjustment to the default A* heuristic used by UCPOP toselect plans for refinement. The other is based on preferring ``zerocommitment'' (forced) plan refinements whenever possible, and using LIFOprioritization otherwise. A more radical technique is the use of operatorparameter domains to prune search. These domains are initially computed fromthe definitions of the operators and the initial and goal conditions, using apolynomial-time algorithm that propagates sets of constants through theoperator graph, starting in the initial conditions. During planning, parameterdomains can be used to prune nonviable operator instances and to removespurious clobbering threats. In experiments based on modifications of UCPOP,our improved plan and goal selection strategies gave speedups by factorsranging from 5 to more than 1000 for a variety of problems that are nontrivialfor the unmodified version. Crucially, the hardest problems gave the greatestimprovements. The pruning technique based on parameter domains often gavespeedups by an order of magnitude or more for difficult problems, both with thedefault UCPOP search strategy and with our improved strategy. The Lisp code forour techniques and for the test problems is provided in on-line appendices.;https://arxiv.org/abs/cs/9609101
arXiv:cs/9608104;[cs.AI];Computer Science > Artificial Intelligence;A Hierarchy of Tractable Subsets for Computing Stable Models;[Submitted on 1 Aug 1996];R. Ben-Eliyahu;;;;;"Finding the stable models of a knowledge base is a significant computationalproblem in artificial intelligence. This task is at the computational heart oftruth maintenance systems, autoepistemic logic, and default logic.Unfortunately, it is NP-hard. In this paper we present a hierarchy of classesof knowledge bases, Omega_1,Omega_2,..., with the following properties: first,Omega_1 is the class of all stratified knowledge bases; second, if a knowledgebase Pi is in Omega_k, then Pi has at most k stable models, and all of them maybe found in time O(lnk), where l is the length of the knowledge base and n thenumber of atoms in Pi; third, for an arbitrary knowledge base Pi, we can findthe minimum k such that Pi belongs to Omega_k in time polynomial in the size ofPi; and, last, where K is the class of all knowledge bases, it is the case thatunion{i=1 to infty} Omega_i = K, that is, every knowledge base belongs to someclass in the hierarchy.";https://arxiv.org/abs/cs/9608104
arXiv:cs/9612103;[cs.AI];Computer Science > Artificial Intelligence;Characterizations of Decomposable Dependency Models;[Submitted on 1 Dec 1996];L. M. deCampos;;;;;Decomposable dependency models possess a number of interesting and usefulproperties. This paper presents new characterizations of decomposable models interms of independence relationships, which are obtained by adding a singleaxiom to the well-known set characterizing dependency models that areisomorphic to undirected graphs. We also briefly discuss a potentialapplication of our results to the problem of learning graphical models fromdata.;https://arxiv.org/abs/cs/9612103
arXiv:cs/9611101;[cs.AI];Computer Science > Artificial Intelligence;MUSE CSP: An Extension to the Constraint Satisfaction Problem;[Submitted on 1 Nov 1996];R. A Helzerman;M. P. Harper;;;;This paper describes an extension to the constraint satisfaction problem(CSP) called MUSE CSP (MUltiply SEgmented Constraint Satisfaction Problem).This extension is especially useful for those problems which segment intomultiple sets of partially shared variables. Such problems arise naturally insignal processing applications including computer vision, speech processing,and handwriting recognition. For these applications, it is often difficult tosegment the data in only one way given the low-level information utilized bythe segmentation algorithms. MUSE CSP can be used to compactly representseveral similar instances of the constraint satisfaction problem. If multipleinstances of a CSP have some common variables which have the same domains andconstraints, then they can be combined into a single instance of a MUSE CSP,reducing the work required to apply the constraints. We introduce the conceptsof MUSE node consistency, MUSE arc consistency, and MUSE path consistency. Wethen demonstrate how MUSE CSP can be used to compactly represent lexicallyambiguous sentences and the multiple sentence hypotheses that are oftengenerated by speech recognition algorithms so that grammar constraints can beused to provide parses for all syntactically correct sentences. Algorithms forMUSE arc and path consistency are provided. Finally, we discuss how to create aMUSE CSP from a set of CSPs which are labeled to indicate when the samevariable is shared by more than a single CSP.;https://arxiv.org/abs/cs/9611101
arXiv:cs/9610102;[cs.AI];Computer Science > Artificial Intelligence;Learning First-Order Definitions of Functions;[Submitted on 1 Oct 1996];J. R. Quinlan;;;;;First-order learning involves finding a clause-form definition of a relationfrom examples of the relation and relevant background information. In thispaper, a particular first-order learning system is modified to customize it forfinding definitions of functional relations. This restriction leads to fasterlearning times and, in some cases, to definitions that have higher predictiveaccuracy. Other first-order learning systems might benefit from similarspecialization.;https://arxiv.org/abs/cs/9610102
arXiv:cs/9610101;[cs.AI];Computer Science > Artificial Intelligence;Mechanisms for Automated Negotiation in State Oriented Domains;[Submitted on 1 Oct 1996];G. Zlotkin;J. S. Rosenschein;;;;This paper lays part of the groundwork for a domain theory of negotiation,that is, a way of classifying interactions so that it is clear, given a domain,which negotiation mechanisms and strategies are appropriate. We define StateOriented Domains, a general category of interaction. Necessary and sufficientconditions for cooperation are outlined. We use the notion of worth in analtered definition of utility, thus enabling agreements in a wider class ofjoint-goal reachable situations. An approach is offered for conflictresolution, and it is shown that even in a conflict situation, partialcooperative steps can be taken by interacting agents (that is, agents infundamental conflict might still agree to cooperate up to a certain point). AUnified Negotiation Protocol (UNP) is developed that can be used in all typesof encounters. It is shown that in certain borderline cooperative situations, apartial cooperative agreement (i.e., one that does not achieve all agents'goals) might be preferred by all agents, even though there exists a rationalagreement that would achieve all their goals. Finally, we analyze cases whereagents have incomplete information on the goals and worth of other agents.First we consider the case where agents' goals are private information, and weanalyze what goal declaration strategies the agents might adopt to increasetheir utility. Then, we consider the situation where the agents' goals (andtherefore stand-alone costs) are common knowledge, but the worth they attach totheir goals is private information. We introduce two mechanisms, one 'strict',the other 'tolerant', and analyze their affects on the stability and efficiencyof negotiation outcomes.;https://arxiv.org/abs/cs/9610101
arXiv:cs/9701101;[cs.AI];Computer Science > Artificial Intelligence;Improved Heterogeneous Distance Functions;[Submitted on 1 Jan 1997];D. R. Wilson;T. R. Martinez;;;;Instance-based learning techniques typically handle continuous and linearinput values well, but often do not handle nominal input attributesappropriately. The Value Difference Metric (VDM) was designed to findreasonable distance values between nominal attribute values, but it largelyignores continuous attributes, requiring discretization to map continuousvalues into nominal values. This paper proposes three new heterogeneousdistance functions, called the Heterogeneous Value Difference Metric (HVDM),the Interpolated Value Difference Metric (IVDM), and the Windowed ValueDifference Metric (WVDM). These new distance functions are designed to handleapplications with nominal attributes, continuous attributes, or both. Inexperiments on 48 applications the new distance metrics achieve higherclassification accuracy on average than three previous distance functions onthose datasets that have both nominal and continuous attributes.;https://arxiv.org/abs/cs/9701101
arXiv:cs/9701102;[cs.AI];Computer Science > Artificial Intelligence;SCREEN: Learning a Flat Syntactic and Semantic Spoken Language Analysis Using Artificial Neural Networks;[Submitted on 1 Jan 1997];S. Wermter;V. Weber;;;;Previous approaches of analyzing spontaneously spoken language often havebeen based on encoding syntactic and semantic knowledge manually andsymbolically. While there has been some progress using statistical orconnectionist language models, many current spoken- language systems still usea relatively brittle, hand-coded symbolic grammar or symbolic semanticcomponent. In contrast, we describe a so-called screening approach for learningrobust processing of spontaneously spoken language. A screening approach is aflat analysis which uses shallow sequences of category representations foranalyzing an utterance at various syntactic, semantic and dialog levels. Ratherthan using a deeply structured symbolic analysis, we use a flat connectionistanalysis. This screening approach aims at supporting speech and languageprocessing by using (1) data-driven learning and (2) robustness ofconnectionist networks. In order to test this approach, we have developed theSCREEN system which is based on this new robust, learned and flat analysis. Inthis paper, we focus on a detailed description of SCREEN's architecture, theflat syntactic and semantic analysis, the interaction with a speech recognizer,and a detailed evaluation analysis of the robustness under the influence ofnoisy or incomplete input. The main result of this paper is that flatrepresentations allow more robust processing of spontaneous spoken languagethan deeply structured representations. In particular, we show how thefault-tolerance and learning capability of connectionist networks can support aflat analysis for providing more robust spoken-language processing within anoverall hybrid symbolic/connectionist framework.;https://arxiv.org/abs/cs/9701102
arXiv:cs/9612102;[cs.AI];Computer Science > Artificial Intelligence;Quantitative Results Comparing Three Intelligent Interfaces for Information Capture: A Case Study Adding Name Information into an Electronic Personal Organizer;[Submitted on 1 Dec 1996];J. C. Schlimmer;P. C. Wells;;;;Efficiently entering information into a computer is key to enjoying thebenefits of computing. This paper describes three intelligent user interfaces:handwriting recognition, adaptive menus, and predictive fillin. In the contextof adding a personUs name and address to an electronic organizer, tests showhandwriting recognition is slower than typing on an on-screen, soft keyboard,while adaptive menus and predictive fillin can be twice as fast. This paperalso presents strategies for applying these three interfaces to otherinformation collection domains.;https://arxiv.org/abs/cs/9612102
arXiv:cs/9608103;[cs.AI];Computer Science > Artificial Intelligence;Spatial Aggregation: Theory and Applications;[Submitted on 1 Aug 1996];K. Yip;F. Zhao;;;;Visual thinking plays an important role in scientific reasoning. Based on theresearch in automating diverse reasoning tasks about dynamical systems,nonlinear controllers, kinematic mechanisms, and fluid motion, we haveidentified a style of visual thinking, imagistic reasoning. Imagistic reasoningorganizes computations around image-like, analogue representations so thatperceptual and symbolic operations can be brought to bear to infer structureand behavior. Programs incorporating imagistic reasoning have been shown toperform at an expert level in domains that defy current analytic or numericalmethods. We have developed a computational paradigm, spatial aggregation, tounify the description of a class of imagistic problem solvers. A programwritten in this paradigm has the following properties. It takes a continuousfield and optional objective functions as input, and produces high-leveldescriptions of structure, behavior, or control actions. It computes amulti-layer of intermediate representations, called spatial aggregates, byforming equivalence classes and adjacency relations. It employs a small set ofgeneric operators such as aggregation, classification, and localization toperform bidirectional mapping between the information-rich field andsuccessively more abstract spatial aggregates. It uses a data structure, theneighborhood graph, as a common interface to modularize computations. Toillustrate our theory, we describe the computational structure of threeimplemented problem solvers -- KAM, MAPS, and HIPAIR --- in terms of thespatial aggregation generic operators by mixing and matching a library ofcommonly used routines.;https://arxiv.org/abs/cs/9608103
arXiv:cs/9612101;[cs.AI];Computer Science > Artificial Intelligence;Exploiting Causal Independence in Bayesian Network Inference;[Submitted on 1 Dec 1996];N. L. Zhang;D. Poole;;;;A new method is proposed for exploiting causal independencies in exactBayesian network inference. A Bayesian network can be viewed as representing afactorization of a joint probability into the multiplication of a set ofconditional probabilities. We present a notion of causal independence thatenables one to further factorize the conditional probabilities into acombination of even smaller factors and consequently obtain a finer-grainfactorization of the joint probability. The new formulation of causalindependence lets us specify the conditional probability of a variable givenits parents in terms of an associative and commutative operator, such as``or'', ``sum'' or ``max'', on the contribution of each parent. We start with asimple algorithm VE for Bayesian network inference that, given evidence and aquery variable, uses the factorization to find the posterior distribution ofthe query. We show how this algorithm can be extended to exploit causalindependence. Empirical studies, based on the CPCS networks for medicaldiagnosis, show that this method is more efficient than previous methods andallows for inference in larger networks than previous algorithms.;https://arxiv.org/abs/cs/9612101
arXiv:cs/9604101;[cs.AI];Computer Science > Artificial Intelligence;A Divergence Critic for Inductive Proof;[Submitted on 1 Apr 1996];T. Walsh;;;;;Inductive theorem provers often diverge. This paper describes a simplecritic, a computer program which monitors the construction of inductive proofsattempting to identify diverging proof attempts. Divergence is recognized bymeans of a ``difference matching'' procedure. The critic then proposes lemmasand generalizations which ``ripple'' these differences away so that the proofcan go through without divergence. The critic enables the theorem prover Spiketo prove many theorems completely automatically from the definitions alone.;https://arxiv.org/abs/cs/9604101
arXiv:cs/9605106;[cs.AI];Computer Science > Artificial Intelligence;2Planning for Contingencies: A Decision-based Approach;[Submitted on 1 May 1996];L. Pryor;G. Collins;;;;A fundamental assumption made by classical AI planners is that there is nouncertainty in the world: the planner has full knowledge of the conditionsunder which the plan will be executed and the outcome of every action is fullypredictable. These planners cannot therefore construct contingency plans, i.e.,plans in which different actions are performed in different circumstances. Inthis paper we discuss some issues that arise in the representation andconstruction of contingency plans and describe Cassandra, a partial-ordercontingency planner. Cassandra uses explicit decision-steps that enable theagent executing the plan to decide which plan branch to follow. Thedecision-steps in a plan result in subgoals to acquire knowledge, which areplanned for in the same way as any other subgoals. Cassandra thus distinguishesthe process of gathering information from the process of making decisions. Theexplicit representation of decisions in Cassandra allows a coherent approach tothe problems of contingent planning, and provides a solid base for extensionssuch as the use of different decision-making procedures.;https://arxiv.org/abs/cs/9605106
arXiv:cs/9605105;[cs.AI];Computer Science > Artificial Intelligence;A Formal Framework for Speedup Learning from Problems and Solutions;[Submitted on 1 May 1996];P. Tadepalli;B. K. Natarajan;;;;Speedup learning seeks to improve the computational efficiency of problemsolving with experience. In this paper, we develop a formal framework forlearning efficient problem solving from random problems and their solutions. Weapply this framework to two different representations of learned knowledge,namely control rules and macro-operators, and prove theorems that identifysufficient conditions for learning in each representation. Our proofs areconstructive in that they are accompanied with learning algorithms. Ourframework captures both empirical and explanation-based speedup learning in aunified fashion. We illustrate our framework with implementations in twodomains: symbolic integration and Eight Puzzle. This work integrates manystrands of experimental and theoretical work in machine learning, includingempirical learning of control rules, macro-operator learning, Explanation-BasedLearning (EBL), and Probably Approximately Correct (PAC) Learning.;https://arxiv.org/abs/cs/9605105
arXiv:cs/9605104;[cs.AI];Computer Science > Artificial Intelligence;Adaptive Problem-solving for Large-scale Scheduling Problems: A Case Study;[Submitted on 1 May 1996];J. Gratch;S. Chien;;;;Although most scheduling problems are NP-hard, domain specific techniquesperform well in practice but are quite expensive to construct. In adaptiveproblem-solving solving, domain specific knowledge is acquired automaticallyfor a general problem solver with a flexible control architecture. In thisapproach, a learning system explores a space of possible heuristic methods forone well-suited to the eccentricities of the given domain and problemdistribution. In this article, we discuss an application of the approach toscheduling satellite communications. Using problem distributions based onactual mission requirements, our approach identifies strategies that not onlydecrease the amount of CPU time required to produce schedules, but alsoincrease the percentage of problems that are solvable within computationalresource limitations.;https://arxiv.org/abs/cs/9605104
arXiv:cs/9605103;[cs.AI];Computer Science > Artificial Intelligence;Reinforcement Learning: A Survey;[Submitted on 1 May 1996];L. P. Kaelbling;M. L. Littman;A. W. Moore;;;This paper surveys the field of reinforcement learning from acomputer-science perspective. It is written to be accessible to researchersfamiliar with machine learning. Both the historical basis of the field and abroad selection of current work are summarized. Reinforcement learning is theproblem faced by an agent that learns behavior through trial-and-errorinteractions with a dynamic environment. The work described here has aresemblance to work in psychology, but differs considerably in the details andin the use of the word ``reinforcement.'' The paper discusses central issues ofreinforcement learning, including trading off exploration and exploitation,establishing the foundations of the field via Markov decision theory, learningfrom delayed reinforcement, constructing empirical models to acceleratelearning, making use of generalization and hierarchy, and coping with hiddenstate. It concludes with a survey of some implemented systems and an assessmentof the practical utility of current methods for reinforcement learning.;https://arxiv.org/abs/cs/9605103
arXiv:cs/9605102;[cs.AI];Computer Science > Artificial Intelligence;Least Generalizations and Greatest Specializations of Sets of Clauses;[Submitted on 1 May 1996];S. H. Nienhuys-Cheng;R. deWolf;;;;The main operations in Inductive Logic Programming (ILP) are generalizationand specialization, which only make sense in a generality order. In ILP, thethree most important generality orders are subsumption, implication andimplication relative to background knowledge. The two languages used most oftenare languages of clauses and languages of only Horn clauses. This gives a totalof six different ordered languages. In this paper, we give a systematictreatment of the existence or non-existence of least generalizations andgreatest specializations of finite sets of clauses in each of these six orderedsets. We survey results already obtained by others and also contribute someanswers of our own. Our main new results are, firstly, the existence of acomputable least generalization under implication of every finite set ofclauses containing at least one non-tautologous function-free clause (amongother, not necessarily function-free clauses). Secondly, we show that such aleast generalization need not exist under relative implication, not even ifboth the set that is to be generalized and the background knowledge arefunction-free. Thirdly, we give a complete discussion of existence andnon-existence of greatest specializations in each of the six ordered languages.;https://arxiv.org/abs/cs/9605102
arXiv:cs/9605101;[cs.AI];Computer Science > Artificial Intelligence;Further Experimental Evidence against the Utility of Occam's Razor;[Submitted on 1 May 1996];G. I. Webb;;;;;This paper presents new experimental evidence against the utility of Occam'srazor. A~systematic procedure is presented for post-processing decision treesproduced by C4.5. This procedure was derived by rejecting Occam's razor andinstead attending to the assumption that similar objects are likely to belongto the same class. It increases a decision tree's complexity without alteringthe performance of that tree on the training data from which it is inferred.The resulting more complex decision trees are demonstrated to have, on average,for a variety of common learning tasks, higher predictive accuracy than theless complex original decision trees. This result raises considerable doubtabout the utility of Occam's razor as it is commonly applied in modern machinelearning.;https://arxiv.org/abs/cs/9605101
arXiv:cs/9603104;[cs.AI];Computer Science > Artificial Intelligence;Active Learning with Statistical Models;[Submitted on 1 Mar 1996];D. A. Cohn;Z. Ghahramani;M. I. Jordan;;;For many types of machine learning algorithms, one can compute thestatistically `optimal' way to select training data. In this paper, we reviewhow optimal data selection techniques have been used with feedforward neuralnetworks. We then show how the same principles may be used to select data fortwo alternative, statistically-based learning architectures: mixtures ofGaussians and locally weighted regression. While the techniques for neuralnetworks are computationally expensive and approximate, the techniques formixtures of Gaussians and locally weighted regression are both efficient andaccurate. Empirically, we observe that the optimality criterion sharplydecreases the number of training examples the learner needs in order to achievegood performance.;https://arxiv.org/abs/cs/9603104
arXiv:cs/9603103;[cs.AI];Computer Science > Artificial Intelligence;Improved Use of Continuous Attributes in C4.5;[Submitted on 1 Mar 1996];J. R. Quinlan;;;;;A reported weakness of C4.5 in domains with continuous attributes isaddressed by modifying the formation and evaluation of tests on continuousattributes. An MDL-inspired penalty is applied to such tests, eliminating someof them from consideration and altering the relative desirability of all tests.Empirical trials show that the modifications lead to smaller decision treeswith higher predictive accuracies. Results also confirm that a new version ofC4.5 incorporating these changes is superior to recent approaches that useglobal discretization and that construct small trees with multi-intervalsplits.;https://arxiv.org/abs/cs/9603103
arXiv:cs/9603102;[cs.AI];Computer Science > Artificial Intelligence;Mean Field Theory for Sigmoid Belief Networks;[Submitted on 1 Mar 1996];L. K. Saul;T. Jaakkola;M. I. Jordan;;;"We develop a mean field theory for sigmoid belief networks based on ideasfrom statistical mechanics. Our mean field theory provides a tractableapproximation to the true probability distribution in these networks; it alsoyields a lower bound on the likelihood of evidence. We demonstrate the utilityof this framework on a benchmark problem in statistical patternrecognition---the classification of handwritten digits.";https://arxiv.org/abs/cs/9603102
arXiv:cs/9603101;[cs.AI];Computer Science > Artificial Intelligence;Quantum Computing and Phase Transitions in Combinatorial Search;[Submitted on 1 Mar 1996];T. Hogg;;;;;We introduce an algorithm for combinatorial search on quantum computers thatis capable of significantly concentrating amplitude into solutions for some NPsearch problems, on average. This is done by exploiting the same aspects ofproblem structure as used by classical backtrack methods to avoid unproductivesearch choices. This quantum algorithm is much more likely to find solutionsthan the simple direct use of quantum parallelism. Furthermore, empiricalevaluation on small problems shows this quantum algorithm displays the samephase transition behavior, and at the same location, as seen in many previouslystudied classical search methods. Specifically, difficult problem instances areconcentrated near the abrupt change from underconstrained to overconstrainedproblems.;https://arxiv.org/abs/cs/9603101
